STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",1/1/2014,2.24,0,0,0,43,44,34
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",1/2/2014,4.7,0.11,0,0,39,47,34
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",1/3/2014,2.24,0.05,0,0,42,48,30
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",1/4/2014,3.58,0,0,0,35,42,26
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",1/5/2014,5.14,0,0,0,33,49,25
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",1/6/2014,8.28,0.01,0,0,39,45,29
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",1/7/2014,8.28,0.4,0,0,40,43,37
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",1/8/2014,12.08,0.32,0,0,42,53,39
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",1/9/2014,10.96,0.13,0,0,46,50,40
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",1/10/2014,11.63,0.01,0,0,49,57,48
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",1/11/2014,19.24,0.68,0,0,52,58,43
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",1/12/2014,10.51,0.29,0,0,46,54,44
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",1/13/2014,7.38,0,0,0,51,56,46
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",1/14/2014,2.68,0,0,0,46,47,39
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",1/15/2014,2.91,0,0,0,41,42,37
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",1/16/2014,3.8,0,0,0,38,40,34
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",1/17/2014,3.58,0,0,0,37,42,33
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",1/18/2014,2.91,0,0,0,36,49,29
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",1/19/2014,2.91,0,0,0,37,48,30
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",1/20/2014,8.95,0,0,0,37,49,32
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",1/21/2014,8.95,0,0,0,38,46,31
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",1/22/2014,4.25,0,0,0,38,44,35
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",1/23/2014,19.01,0,0,0,41,48,31
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",1/24/2014,15.88,0,0,0,42,47,35
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",1/25/2014,6.26,0,0,0,38,47,30
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",1/26/2014,6.71,0,0,0,35,45,27
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",1/27/2014,11.41,0,0,0,36,41,32
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",1/28/2014,10.51,0.27,0,0,40,45,38
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",1/29/2014,14.54,0.3,0,0,43,55,39
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",1/30/2014,6.49,0.08,0,0,46,50,41
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",1/31/2014,6.71,0.05,0,0,44,48,41
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",2/1/2014,2.91,0,0,0,44,51,32
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",2/2/2014,4.92,0.02,0,0,36,47,30
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",2/3/2014,3.13,0.02,0,0,38,43,31
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",2/4/2014,11.41,0,0,0,33,37,25
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",2/5/2014,25.5,0,0,0,27,29,21
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",2/6/2014,21.7,0.22,3.8,0,22,23,19
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",2/7/2014,8.05,0.12,1.3,4,22,28,20
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",2/8/2014,15.21,0.26,2.2,5,27,31,25
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",2/9/2014,7.83,0,0,4,29,33,27
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",2/10/2014,11.41,0.13,0,4,32,46,28
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",2/11/2014,7.83,0.47,0,1,42,49,42
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",2/12/2014,8.72,0.09,0,0,49,56,43
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",2/13/2014,9.62,0.17,0,0,51,56,43
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",2/14/2014,9.84,0.37,0,0,48,56,43
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",2/15/2014,14.32,0.92,0,0,46,55,42
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",2/16/2014,15.21,0.07,0,0,45,51,40
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",2/17/2014,14.54,1.16,0,0,49,54,43
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",2/18/2014,11.18,0.47,0,0,48,52,40
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",2/19/2014,7.61,0.13,0,0,42,46,37
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",2/20/2014,7.83,0.1,0,0,45,48,42
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",2/21/2014,3.8,0,0,0,43,52,37
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",2/22/2014,1.34,0,0,0,39,47,30
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",2/23/2014,3.8,0,0,0,42,51,33
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",2/24/2014,11.18,0.14,0,0,46,45,40
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",2/25/2014,17.22,0,0,0,43,50,40
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",2/26/2014,17,0,0,0,44,50,41
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",2/27/2014,4.7,0.26,0,0,42,44,37
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",2/28/2014,9.84,0,0,0,44,58,39
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",3/1/2014,11.41,0.01,0,0,44,47,34
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",3/2/2014,13.2,0.43,0,0,35,53,33
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",3/3/2014,10.51,0.23,0,0,49,61,40
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",3/4/2014,7.83,0.11,0,0,53,62,46
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",3/5/2014,12.08,1.18,0,0,53,59,47
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",3/6/2014,12.97,0.1,0,0,53,54,47
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",3/7/2014,4.25,0,0,0,51,62,44
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",3/8/2014,8.72,0.55,0,0,49,57,43
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",3/9/2014,4.03,0.56,0,0,54,59,48
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",3/10/2014,5.82,0.09,0,0,50,54,38
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",3/11/2014,3.8,0,0,0,44,59,34
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",3/12/2014,2.91,0,0,0,47,65,33
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",3/13/2014,1.57,0,0,0,48,60,35
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",3/14/2014,8.28,0.22,0,0,55,63,44
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",3/15/2014,6.93,0,0,0,51,65,40
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",3/16/2014,12.3,0.71,0,0,57,61,42
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",3/17/2014,9.84,0.02,0,0,45,52,41
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",3/18/2014,3.8,0.01,0,0,45,56,40
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",3/19/2014,7.83,0.03,0,0,47,56,37
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",3/20/2014,2.91,0,0,0,42,50,33
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",3/21/2014,6.71,0,0,0,43,56,35
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",3/22/2014,4.47,0,0,0,45,63,32
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",3/23/2014,2.24,0,0,0,49,62,35
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",3/24/2014,6.26,0,0,0,51,69,36
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",3/25/2014,11.86,0.22,0,0,55,59,47
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",3/26/2014,10.07,0.38,0,0,49,52,45
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",3/27/2014,12.3,0.17,0,0,49,59,45
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",3/28/2014,11.41,1.69,0,0,49,53,47
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",3/29/2014,11.41,0.43,0,0,50,56,47
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",3/30/2014,6.26,0.02,0,0,49,54,40
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",3/31/2014,5.82,0.36,0,0,46,60,37
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",4/1/2014,3.36,0.14,0,0,48,51,44
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",4/2/2014,3.58,0,0,0,49,59,44
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",4/3/2014,10.07,0.1,0,0,51,58,44
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",4/4/2014,5.59,0.01,0,0,50,59,46
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",4/5/2014,8.05,0.13,0,0,51,55,47
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",4/6/2014,6.04,0.01,0,0,54,65,48
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",4/7/2014,4.03,0,0,0,56,75,47
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",4/8/2014,3.58,0.33,0,0,58,69,47
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",4/9/2014,7.61,0.03,0,0,54,62,44
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",4/10/2014,7.16,0,0,0,52,66,42
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",4/11/2014,7.38,0,0,0,54,67,43
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",4/12/2014,6.93,0,0,0,54,64,48
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",4/13/2014,8.28,0,0,0,55,71,40
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",4/14/2014,6.26,0,0,0,58,73,42
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",4/15/2014,5.82,0,0,0,54,61,48
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",4/16/2014,6.04,0.13,0,0,53,59,48
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",4/17/2014,8.5,0.37,0,0,53,55,44
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",4/18/2014,3.58,0,0,0,49,60,39
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",4/19/2014,9.62,0.07,0,0,51,59,42
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",4/20/2014,3.13,0,0,0,52,64,43
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",4/21/2014,5.82,0.34,0,0,55,65,48
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",4/22/2014,8.5,0.23,0,0,51,54,44
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",4/23/2014,12.75,0.4,0,0,49,55,46
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",4/24/2014,10.51,0.32,0,0,54,58,47
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",4/25/2014,5.59,0,0,0,50,56,43
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",4/26/2014,8.5,0.16,0,0,49,57,42
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",4/27/2014,7.83,0.26,0,0,49,58,43
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",4/28/2014,4.25,0,0,0,50,64,39
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",4/29/2014,8.95,0,0,0,59,77,48
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",4/30/2014,8.5,0,0,0,67,83,52
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",5/1/2014,4.47,0,0,0,69,89,53
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",5/2/2014,4.47,0,0,0,69,76,54
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",5/3/2014,9.17,0.18,0,0,58,61,50
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",5/4/2014,11.41,0.14,0,0,55,61,51
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",5/5/2014,7.38,0.05,0,0,54,64,50
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",5/6/2014,6.04,0,0,0,56,65,48
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",5/7/2014,3.8,0,0,0,54,66,42
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",5/8/2014,6.93,0.34,0,0,55,59,51
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",5/9/2014,10.29,0.26,0,0,54,58,48
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",5/10/2014,5.59,0.02,0,0,51,63,47
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",5/11/2014,3.36,0,0,0,55,68,44
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",5/12/2014,8.05,0,0,0,61,78,47
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",5/13/2014,5.37,0,0,0,66,85,51
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",5/14/2014,2.91,0,0,0,71,91,53
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",5/15/2014,5.82,0,0,0,72,83,58
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",5/16/2014,4.03,0,0,0,64,71,52
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",5/17/2014,4.92,0.12,0,0,60,70,55
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",5/18/2014,7.16,1.06,0,0,59,60,53
