STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/1/2014,2.68,0,0,0,42,45,38
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/2/2014,7.16,0.16,0,0,45,51,43
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/3/2014,5.82,0.06,0,0,45,48,37
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/4/2014,6.04,0,0,0,41,46,33
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/5/2014,8.28,0,0,0,37,47,31
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/6/2014,5.82,0.01,0,0,38,46,31
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/7/2014,3.58,0.48,0,0,44,47,41
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/8/2014,10.29,0.38,0,0,47,50,45
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/9/2014,14.09,0.23,0,0,46,49,42
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/10/2014,15.66,0.17,0,0,47,55,47
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/11/2014,19.69,0.84,0,0,49,58,45
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/12/2014,18.12,0.06,0,0,46,52,42
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/13/2014,15.88,0,0,0,51,51,50
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/14/2014,2.91,0,0,0,50,52,45
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/15/2014,5.59,0,0,0,47,52,42
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/16/2014,6.04,0,0,0,43,44,40
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/17/2014,5.14,0,0,0,40,42,37
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/18/2014,4.92,0,0,0,39,49,33
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/19/2014,5.59,0,0,0,41,43,38
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/20/2014,4.92,0,0,0,41,50,37
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/21/2014,3.36,0,0,0,40,50,35
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/22/2014,5.82,0.02,0,0,46,49,42
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/23/2014,11.63,0,0,0,44,50,37
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/24/2014,4.25,0,0,0,42,55,34
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/25/2014,1.79,0,0,0,42,54,34
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/26/2014,2.91,0,0,0,42,47,33
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/27/2014,2.91,0,0,0,39,49,35
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/28/2014,3.58,0.35,0,0,45,52,43
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/29/2014,7.61,0.85,0,0,48,52,45
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/30/2014,14.32,0,0,0,46,47,43
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/31/2014,5.82,0.09,0,0,44,46,42
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/1/2014,1.79,0.08,0,0,43,46,37
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/2/2014,5.59,0,0,0,40,48,34
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/3/2014,9.62,0,0,0,39,41,32
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/4/2014,10.51,0,0,0,34,37,28
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/5/2014,14.76,0,0,0,29,31,22
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/6/2014,10.07,0,0,0,24,29,21
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/7/2014,9.4,0,0,0,28,38,23
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/8/2014,10.29,0.2,2.9,0,34,42,31
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/9/2014,5.37,0.02,0,3.1,34,39,32
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/10/2014,10.51,0.72,0,0,40,50,36
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/11/2014,8.5,0.67,0,0,48,54,42
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/12/2014,14.32,0.18,0,0,50,54,45
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/13/2014,14.09,0.07,0,0,50,55,46
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/14/2014,14.32,0.37,0,0,49,53,43
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/15/2014,11.41,0.46,0,0,45,52,41
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/16/2014,17.67,1.04,0,0,44,49,39
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/17/2014,12.3,0.57,0,0,44,47,40
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/18/2014,13.87,0.6,0,0,44,48,41
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/19/2014,13.42,0.04,0,0,43,47,39
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/20/2014,15.43,0.12,0,0,45,50,42
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/21/2014,6.49,0.11,0,0,43,44,39
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/22/2014,6.93,0.1,0,0,40,42,37
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/23/2014,5.82,0.24,0,0,42,45,39
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/24/2014,7.16,0.51,0,0,41,44,38
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/25/2014,10.07,0.01,0,0,44,54,39
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/26/2014,5.59,0,0,0,48,57,42
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/27/2014,5.14,0,0,0,48,55,40
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",2/28/2014,13.2,0,0,0,49,58,40
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/1/2014,10.51,0.02,0,0,45,45,40
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/2/2014,12.75,0.75,0,0,40,52,37
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/3/2014,11.41,0.42,0,0,49,58,48
