"","year","period","periodName","value"
"1","2009","M12","December","9.9"
"2","2009","M11","November","9.9"
"3","2009","M10","October","10.0"
"4","2009","M09","September","9.8"
"5","2009","M08","August","9.6"
"6","2009","M07","July","9.5"
"7","2009","M06","June","9.5"
"8","2009","M05","May","9.4"
"9","2009","M04","April","9.0"
"10","2009","M03","March","8.7"
"11","2009","M02","February","8.3"
"12","2009","M01","January","7.8"
"13","2008","M12","December","7.3"
"14","2008","M11","November","6.8"
"15","2008","M10","October","6.5"
"16","2008","M09","September","6.1"
"17","2008","M08","August","6.1"
"18","2008","M07","July","5.8"
"19","2008","M06","June","5.6"
"20","2008","M05","May","5.4"
"21","2008","M04","April","5.0"
"22","2008","M03","March","5.1"
"23","2008","M02","February","4.9"
"24","2008","M01","January","5.0"
"25","2007","M12","December","5.0"
"26","2007","M11","November","4.7"
"27","2007","M10","October","4.7"
"28","2007","M09","September","4.7"
"29","2007","M08","August","4.6"
"30","2007","M07","July","4.7"
"31","2007","M06","June","4.6"
"32","2007","M05","May","4.4"
"33","2007","M04","April","4.5"
"34","2007","M03","March","4.4"
"35","2007","M02","February","4.5"
"36","2007","M01","January","4.6"
"37","2006","M12","December","4.4"
"38","2006","M11","November","4.5"
"39","2006","M10","October","4.4"
"40","2006","M09","September","4.5"
"41","2006","M08","August","4.7"
"42","2006","M07","July","4.7"
"43","2006","M06","June","4.6"
"44","2006","M05","May","4.6"
"45","2006","M04","April","4.7"
"46","2006","M03","March","4.7"
"47","2006","M02","February","4.8"
"48","2006","M01","January","4.7"
"49","2005","M12","December","4.9"
"50","2005","M11","November","5.0"
"51","2005","M10","October","5.0"
"52","2005","M09","September","5.0"
"53","2005","M08","August","4.9"
"54","2005","M07","July","5.0"
"55","2005","M06","June","5.0"
"56","2005","M05","May","5.1"
"57","2005","M04","April","5.2"
"58","2005","M03","March","5.2"
"59","2005","M02","February","5.4"
"60","2005","M01","January","5.3"
"61","2004","M12","December","5.4"
"62","2004","M11","November","5.4"
"63","2004","M10","October","5.5"
"64","2004","M09","September","5.4"
"65","2004","M08","August","5.4"
"66","2004","M07","July","5.5"
"67","2004","M06","June","5.6"
"68","2004","M05","May","5.6"
"69","2004","M04","April","5.6"
"70","2004","M03","March","5.8"
"71","2004","M02","February","5.6"
"72","2004","M01","January","5.7"
"73","2003","M12","December","5.7"
"74","2003","M11","November","5.8"
"75","2003","M10","October","6.0"
"76","2003","M09","September","6.1"
"77","2003","M08","August","6.1"
"78","2003","M07","July","6.2"
"79","2003","M06","June","6.3"
"80","2003","M05","May","6.1"
"81","2003","M04","April","6.0"
"82","2003","M03","March","5.9"
"83","2003","M02","February","5.9"
"84","2003","M01","January","5.8"
"85","2002","M12","December","6.0"
"86","2002","M11","November","5.9"
"87","2002","M10","October","5.7"
"88","2002","M09","September","5.7"
"89","2002","M08","August","5.7"
"90","2002","M07","July","5.8"
"91","2002","M06","June","5.8"
"92","2002","M05","May","5.8"
"93","2002","M04","April","5.9"
"94","2002","M03","March","5.7"
"95","2002","M02","February","5.7"
"96","2002","M01","January","5.7"
"97","2001","M12","December","5.7"
"98","2001","M11","November","5.5"
"99","2001","M10","October","5.3"
"100","2001","M09","September","5.0"
"101","2001","M08","August","4.9"
"102","2001","M07","July","4.6"
"103","2001","M06","June","4.5"
"104","2001","M05","May","4.3"
"105","2001","M04","April","4.4"
"106","2001","M03","March","4.3"
"107","2001","M02","February","4.2"
"108","2001","M01","January","4.2"
"109","2000","M12","December","3.9"
"110","2000","M11","November","3.9"
"111","2000","M10","October","3.9"
"112","2000","M09","September","3.9"
"113","2000","M08","August","4.1"
"114","2000","M07","July","4.0"
"115","2000","M06","June","4.0"
"116","2000","M05","May","4.0"
"117","2000","M04","April","3.8"
"118","2000","M03","March","4.0"
"119","2000","M02","February","4.1"
"120","2000","M01","January","4.0"
"121","2009","S02","2nd Half","211.377"
"122","2009","S01","1st Half","207.883"
"123","2008","S02","2nd Half","211.796"
"124","2008","S01","1st Half","210.309"
"125","2007","S02","2nd Half","204.466"
"126","2007","S01","1st Half","201.069"
"127","2006","S02","2nd Half","198.0"
"128","2006","S01","1st Half","196.3"
"129","2005","S02","2nd Half","193.2"
"130","2005","S01","1st Half","188.8"
"131","2004","S02","2nd Half","185.8"
"132","2004","S01","1st Half","183.2"
"133","2003","S02","2nd Half","180.3"
"134","2003","S01","1st Half","179.3"
"135","2002","S02","2nd Half","176.9"
"136","2002","S01","1st Half","174.9"
"137","2001","S02","2nd Half","173.8"
"138","2001","S01","1st Half","173.2"
"139","2000","S02","2nd Half","170.2"
"140","2000","S01","1st Half","167.6"
